species,dietary.breadth,se,sample.size,tongue.class
affinis,19.9343843223633,0.0201917914405054,46,short
auricomus,12.9682162753891,0.0100958957202521,52,long
bimaculatus,29.2327042807158,0.0100958957202527,78,medium
borealis,15.9767932000244,0.0100958957202521,37,long
fervidus,22.2564403380214,0,66,long
griseocollis,35.9464749346837,0,86,short
impatiens,40.3079018858328,0.0174866043353948,144,medium
pensylvanicus,16.683505900442,0,41,long
perplexus,24.5885922493997,0,58,medium
ternarius,23.5689067816542,0.0100958957202527,62,medium
terricola,24.1443728377086,0.0100958957202515,65,short
vagans,28.5259915802982,0,76,medium-long
